date,index,ret
2019-05-07,35.745882,-0.00849112
2019-05-08,36.172311,0.01192946
2019-05-09,35.852652,-0.00883712
2019-05-10,36.71341,0.02400819
2019-05-11,40.975083,0.11607949
2019-05-12,39.512248,-0.03570061
2019-05-13,42.466114,0.07475824
2019-05-14,45.395349,0.06897817
2019-05-15,49.658743,0.09391698
2019-05-16,49.288248,-0.00746083
2019-05-17,46.126193,-0.06415434
2019-05-18,45.5644,-0.01217947
2019-05-19,50.438203,0.10696517
2019-05-20,49.014591,-0.02822488
2019-05-21,49.390186,0.00766292
2019-05-22,47.195395,-0.0444378
2019-05-23,47.932096,0.0156096
2019-05-24,48.868578,0.01953767
2019-05-25,49.262279,0.00805633
2019-05-26,52.131454,0.05824284
2019-05-27,53.700772,0.03010308
2019-05-28,53.632713,-0.00126737
2019-05-29,53.417219,-0.00401795
2019-05-30,51.23349,-0.04088062
2019-05-31,53.278405,0.03991364
2019-06-01,52.960949,-0.00595844
2019-06-02,54.135846,0.02218421
2019-06-03,50.843815,-0.06081055
2019-06-04,48.079756,-0.05436372
2019-06-05,49.004571,0.01923501
2019-06-06,49.308473,0.0062015
2019-06-07,50.414323,0.02242718
2019-06-08,49.771561,-0.01274957
2019-06-09,47.737779,-0.04086234
2019-06-10,49.90352,0.04536744
2019-06-11,49.572714,-0.0066289
2019-06-12,51.608746,0.04107161
2019-06-13,51.391011,-0.00421894
2019-06-14,52.659835,0.0246896
2019-06-15,53.444202,0.01489499
2019-06-16,53.960892,0.00966782
2019-06-17,55.402571,0.02671712
2019-06-18,54.067537,-0.02409698
2019-06-19,54.911784,0.01561468
2019-06-20,55.325926,0.00754195
2019-06-21,58.157008,0.05117099
2019-06-22,61.07618,0.05019466
2019-06-23,60.980191,-0.00157161
2019-06-24,61.546971,0.00929449
2019-06-25,63.603276,0.03341034
2019-06-26,65.902456,0.03614876
2019-06-27,58.257905,-0.11599798
2019-06-28,62.402682,0.07114532
2019-06-29,62.744082,0.00547091
2019-06-30,57.268054,-0.0872756
2019-07-01,57.278954,0.00019033
2019-07-02,57.219133,-0.00104438
2019-07-03,60.308013,0.05398334
2019-07-04,57.477117,-0.04694064
2019-07-05,57.217581,-0.00451546
2019-07-06,57.730138,0.00895804
2019-07-07,59.671466,0.03362762
